company, role, description
Ai2, "Research Scientist, AllenNLP", "Who We Are: 

We are a non-profit AI institute, focused on developing foundational AI research and innovation to deliver real-world impact through large-scale open models, data, and artifacts (e.g., OLMo, Tulu, Molmo).   We unite the best and brightest scientific and engineering minds to explore the potential of truly open AI. Through  our efforts, including the pioneering OLMo releases, we endeavor to empower academics, researchers, and AI developers more broadly to advance language models and generative AI models. Through close collaboration, we rapidly identify, define, and act on the most exciting and promising new ideas in AI.  

Our team engages in a broad range of AI research, including pre-training and post-training language models, curating data to enhance AI across different modalities, and developing novel methodologies to push the field forward. We study and evaluate AI models both theoretically and empirically, aiming to advance their capabilities. Additionally, we create impactful real-world applications, such as in scientific synthesis. Our goal is to develop state-of-the-art models that excel in scientific discovery, reasoning, and factual recall.

Who You Are:

You are a creative, hands-on AI researcher with a strong foundation in AI and natural language processing. Passionate about pushing the boundaries of research and engineering, you seek to advance AI and language models both scientifically and openly. You thrive in collaborative environments, take initiative, and are eager to contribute to AI2’s impact-driven mission in a dynamic, fast-paced research setting. Skilled at translating complex concepts into concrete research goals and implementation steps, you define clear approaches, execute effectively, and communicate results with clarity. You leverage these skills to create real-world benefits for researchers and practitioners alike and are excited to help drive the development of the best-performing open AI model.

What You Need:
A PhD focusing on natural language processing, machine learning, or a related area, with expertise in one or more of the following: language models, reinforcement learning, experimental methodology, the science of deep learning, or efficient algorithms for deep learning.  Curiosity about all of the above is a plus.
The ability to own and pursue a research agenda to improve AI models.
Enthusiasm for collaboration and teamwork on ambitious projects aligned with company goals.
Experience leading a team to solve analytical problems (a plus).
Contributions to open-source research libraries and an interest in continuing such work (a plus).
Your Next Challenge:

As a key member of the core team of research scientists and machine learning engineers at AI2, you will drive the development of OLMo (Open Language Models) and related frameworks. In this role, you will lead foundational research to advance generative AI, shape our strategic direction, and lay the groundwork for future innovations. You will also work towards long-term ambitious research goals, while identifying intermediate milestones. 

The essential functions include, but are not limited to the following:

Contribute to AI2’s open source research environment to innovate,  study and advance the science of generative AI
Take a leading role in building artifacts and implementing software systems with real-world impact
Author and present high-quality scientific technical reports, papers, and presentations
Collaborate with and learn from team members across AI2, including scientists and engineers
Mentor early-career researchers and interns on their projects
Develop collaborative relationships with relevant academic, industrial, government, and standards organizations
Physical Demands and Work Environment:

The physical demands described here are representative of those that must be met by a team member to successfully perform the essential functions of this position. Reasonable accommodations may be made to enable individuals with disabilities to perform the functions.

Must be able to remain in a stationary position for long periods of time. 
The ability to communicate information and ideas so others will understand. Must be able to exchange accurate information in these situations. 
The ability to observe details at close range.
Can work under deadlines.
A Little More About AI2:

The Allen Institute for Artificial Intelligence is a non-profit research institute in Seattle founded by Paul Allen. The core mission of AI2 is to contribute to humanity through high-impact research in artificial intelligence. 

In addition to AI2’s core mission, we also aim to contribute to humanity through our treatment of each member of the AI2 Team. Some highlights are:

We are a learning organization – because everything AI2 does is ground-breaking, we are learning every day. Similarly, through weekly AI2 Academy lectures, a wide variety of world-class AI experts as guest speakers, and our commitment to your personal on-going education, AI2 is a place where you will have opportunities to continue learning alongside your coworkers. 
We value diversity - We seek to hire, support, and promote people from all genders, ethnicities, and all levels of experience regardless of age. We particularly encourage applications from women, non-binary individuals, people of color, members of the LGBTQA+ community, and people with disabilities of any kind. 
We value inclusion - We understand the value that people's individual experiences and perspectives can bring to an organization, and we are building a culture in which all voices are heard, respected and considered.
We emphasize a healthy work/life balance – we believe our team members are happiest and most productive when their work/life balance is optimized. While we value powerful research results which drive our mission forward, we also value dinner with family, weekend time, and vacation time. We offer generous paid vacation and sick leave as well as family leave.
We are collaborative and transparent – we consider ourselves a team, all moving with a common purpose. We are quick to cheer our successes, and even quicker to share and jointly problem solve our failures.
We are in Seattle – and our office is on the water! We have mountains, we have lakes, we have four seasons, we bike to work, we have a vibrant theater scene, and we have so much else. We even have kayaks for you to paddle right outside our front door. We welcome interest from applicants from outside of the United States.
We are friendly– chances are you will like every one of the 200+ (and growing) people who work here. We do. 
AI2 is proud to be an Equal Opportunity employer. We do not discriminate based upon race, religion, color, national origin, sex (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender, gender identity, gender expression, transgender status, sexual stereotypes, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics. You may view the related Know Your Rights compliance poster and the Pay Transparency Nondiscrimination Provision by clicking on their corresponding links. 

This employer participates in E-Verify and will provide the federal government with your Form I-9 information to confirm that you are authorized to work in the U.S. If E-Verify cannot confirm that you are authorized to work, this employer is required to give you written instructions and an opportunity to contact the Department of Homeland Security (DHS) or Social Security Administration (SSA) so you can begin to resolve the issue before the employer can take any action against you, including terminating your employment. Employers can only use E-Verify once you have accepted a job offer and completed the Form I-9.

We are committed to providing reasonable accommodations to employees and applicants with disabilities to the full extent required by the Americans with Disabilities Act (ADA). If you feel you need a reasonable accommodation pursuant to the ADA, you are encouraged to contact us at recruiting@allenai.org 

Benefits: 

Team members and their families are covered by medical, dental, vision, basic life insurance, basic accidental death and dismemberment insurance, short-term disability, long-term disability, and an employee assistance program. 
Team members are able to enroll in our voluntary life insurance program, our voluntary accidental death and dismemberment program, our health savings account plan, our healthcare reimbursement arrangement plan, and our health care and dependent care flexible spending account plans. 
Team members are able to enroll in our company’s 401k plan. 
Team members will receive $125 per month to assist with commuting or internet expenses and will also receive $200 per month for fitness and wellbeing expenses.
Team members will also receive up to ten sick days per year, up to seven personal days per year, up to 20 vacation days per year and twelve paid holidays throughout the calendar year.
Team members will be able to receive annual bonuses and can participate in the long-term incentive plan."








Databricks, "Software Engineer (2025 New Grad)", "At Databricks, we are passionate about helping data teams solve the world's toughest problems — from making the next mode of transportation a reality to accelerating the development of medical breakthroughs. We do this by building and running the world's best data and AI infrastructure platform so our customers can use deep data insights to improve their business. Founded by engineers and dedicated to our customers, we leap at every opportunity to solve technical challenges, from designing next-gen UI/UX for working with data to scaling our services and infrastructure across millions of virtual machines. And we're only getting started.

As a software engineer, you will work with our engineering team to build infrastructure and products for the Databricks platform. We're hiring across all of our teams, including backend, full stack, infrastructure, databases, systems, tools, cloud, and customer-facing products. You will join a cohort of engineers who will build their careers through collaborative projects and learning opportunities. With a dedicated mentor and supportive team, you'll onboard quickly and start contributing to impactful projects soon after starting here at Databricks!

The impact you will have:

Work with a team to build features and improve architecture for the Databricks platform
Develop and extend the Databricks product
Own full software development lifecycle: design, development, testing, and operating in production
Build solutions with a high level of reliability, scalability, and security
What we look for:

You will graduate in December 2024 or Spring 2025 with a degree in Computer Science, Engineering, or related subject
You have implementation skills with a general purpose program language, such as Python, Java, or C++
You have knowledge of algorithms, data structures, and OOP principles
You have experience managing end-to-end projects
We are hiring Software Engineer - New Grads across multiple offices. Please apply for the single location that you're the most interested in, and we will discuss more with you as you move through the process. We can only consider one application in 30 days. 

About Databricks

Databricks is the data and AI company. More than 10,000 organizations worldwide — including Comcast, Condé Nast, Grammarly, and over 50% of the Fortune 500 — rely on the Databricks Data Intelligence Platform to unify and democratize data, analytics and AI. Databricks is headquartered in San Francisco, with offices around the globe and was founded by the original creators of Lakehouse, Apache Spark™, Delta Lake and MLflow. To learn more, follow Databricks on Twitter, LinkedIn and Facebook.

Benefits

At Databricks, we strive to provide comprehensive benefits and perks that meet the needs of all of our employees. For specific details on the benefits offered in your region, please visit https://www.mybenefitsnow.com/databricks. 


Our Commitment to Diversity and Inclusion

At Databricks, we are committed to fostering a diverse and inclusive culture where everyone can excel. We take great care to ensure that our hiring practices are inclusive and meet equal employment opportunity standards. Individuals looking for employment at Databricks are considered without regard to age, color, disability, ethnicity, family or marital status, gender identity or expression, language, national origin, physical and mental ability, political affiliation, race, religion, sexual orientation, socio-economic status, veteran status, and other protected characteristics.

Compliance

If access to export-controlled technology or source code is required for performance of job duties, it is within Employer's discretion whether to apply for a U.S. government license for such positions, and Employer may decline to proceed with an applicant on this basis alone."







Dropbox, Senior Data Scientist, "Company Description
Dropbox isn’t just a workplace—it’s a living lab for more enlightened ways of working. We're a global community of more than 2,000 bold visionaries and resourceful doers who are shaping the future of Dropbox—and with it the future of work. Our Virtual First model combines the flexibility of a distributed workplace with the power of human connection, making space for both meaningful work and meaningful relationships. With our start-up mindset and enterprise-level opportunities, you can be who you are and grow into who you’re meant to be. Here, you can own your impact to make work more intuitive, joyful, and human—for you as a Dropboxer and for hundreds of millions of people worldwide. If you're ready to push boundaries—and yourself— Dropbox is ready for you.

Team Description
The Dropbox Data Science team transforms data into powerful insights that inform everything we do at Dropbox. Combining applied analytics techniques with deep business insights, we investigate user behavior, product performance, and market trends to uncover new opportunities for growth, optimization, and innovation. Our work is highly collaborative: we work closely with Revenue, Product, and Marketing teams to enable data-driven development and personalized customer solutions. It’s also highly creative, as we experiment to develop tools and dashboards that democratize insights across Dropbox. If you are driven by solving challenging problems and using the power of data to deliver impactful, user-centered products and services, join our Data Sciences team. Areas of work include Applied Analytics, Experimentation, Data Engineering, Machine Learning, Business Intelligence, Data Visualization, and Statistical Modeling.

Role Description
How many times do you get an opportunity to be at the ground floor on a very big and important mission?  What if you get to be one of the top contributors defining the mission, guiding our teams and influencing the direction of Dropbox AI-first mission?  As a Senior Data Scientist for this new division, you will exactly get to do that.  You will join a team of top-tier data scientists and be an inherent part of the product org to create and scale this new business.

As a ground floor opportunity for this startup team, we need this senior DS to build a top-tier data-informed culture with a lot of focus on AI/ML impact and execution!

Responsibilities
You will partner closely with leads across all functions while being focused on the AI/ML team work - Product, Engineering, Design, and Research
You will build the reliable, efficient, and scalable data foundations and daily execution standards, tools, and processes for our AI/ML capabilities’ long-term growth
You will contribute to a culture of strong technical ownership, resulting in highly reliable products and services at scale
You will leverage data-driven insights to proactively identify most impactful opportunities, and inform future experimentation design and product roadmaps
You will perform analytical deep-dives to analyze AI related user problems and opportunities, identify the hypothesis and design & execute experiments with great rigor and efficient data techniques
Requirements
Bachelors’ or above in quantitative discipline: Statistics, Applied Mathematics, Economics, Computer Science, Engineering, or related field
5-8+ years experience of leveraging data-driven analysis to influence key business decisions and executives, preferably in a tech company
2+ years working with AI/ML related product teams, and having hands-on experiences to work with data scientists, engineers, product managers, user researchers, and designers
Proven track record of being able to work independently and proactively engage with business stakeholders with minimal direction & driver measurable business impact
Ability to influence prioritization and execution of high impact projects effecting customer experience, monetization, and entire organization’s roadmap
Ability to provide data insights for 0-1 product even when sample size is small,  with a track record of driving directly measurable product or business impact. 
Be proficient with SQL, Python and other coding languages frequently applied in the AI/ML production environment, with deep understanding of statistical analysis & experiment design
Preferred Qualifications
Have worked in startups or on true 0→ 1 products before
Experiences with SaaS search, ranking, AI research, and etc
Compensation
Canada Pay Range
$157,300—$212,700 CAD
The range listed above is the expected annual salary/OTE for this role, subject to change.

Salary/OTE is just one component of Dropbox’s total rewards package. All regular employees are also eligible for the corporate bonus program or a sales incentive (target included in OTE) as well as stock in the form of Restricted Stock Units (RSUs).

Benefits
Dropbox is committed to investing in the holistic health and wellbeing of all Dropboxers and their families. Our benefits and perks programs include, but are not limited to:

Competitive medical, dental and vision coverage*
Retirement savings through a defined contribution pension or savings plan**
Flexible PTO/Paid Time Off policy in addition to statutory holidays, allowing you time to unplug, unwind, and refresh
Income Protection Plans: Life and disability insurance*
Business Travel Protection: Travel medical and accident insurance*
Perks Allowance to be used on what matters most to you, whether that’s wellness, learning and development, food & groceries, and much more
Parental benefits including: Parental Leave, Fertility Benefits, Adoptions and Surrogacy support, and Lactation support
Mental health and wellness benefits
Additional benefits details are available upon request.

*Where group plans are not available, allowances may be provided

**Benefit, amount, and type are dependent on geographical location, based upon applicable law or company policy

 

Dropbox is an equal opportunity employer. We are a welcoming place for everyone, and we do our best to make sure all people feel supported and connected at work."
